AccessionNumber,GeneName,Function
Rv3314c,deoA,The enzymes which catalyze the reversible phosphorylosis of pyrimidine nucleosides are involved in the degradation of these compounds and in their utilization as carbon and energy sources  or in the rescue of pyrimidine BASES for nucleotide synthesis [catalytic activity: thymidine + phosphate = thymine + 2-deoxy-D-ribose 1-phosphate].
Rv3132c,devS,Sensor part of the two component regulatory system DEVR/DEVS/dost. Thought to control HSPX|Rv2031|ACR expression; O2  NO and CO are ligands  DOSS is inactive in the presence of oxygen
Rv3510c,Rv3510c,Function unknown
Rv1299,prfA,Peptide chain release factor 1 directs the termination of translation in response to the peptide chain termination codons UAG and UAA
Rv0672,fadE8,Function unknown  but involved in lipid degradation.
Rv3366,spoU,Causes methylation
Rv3808c,glfT2,Converts UDP-galactofuranose in cell wall galactan polymerization. Has UDP-Galf:beta-D-(1->5) and UDP-Galf:beta-D-(1->6) galactofuranosyltransferase activities.
Rv1912c,fadB5,Thought to be involved in fatty acid degradation. FADB and FADA are the alpha and beta subunits of the multifunctional enzyme complex of the fatty acid degradation cycle.
Rv2141c,Rv2141c,Unknown
Rv1297,rho,Facilitates transcription termination by a mechanism that involves rho binding to the nascent RNA  activation of rho'S RNA-dependent ATPase activity  and release of the mRNA from the DNA template
Rv3867,espH,Function unknown
Rv0152c,PE2,Function unknown
Rv3002c,ilvN,Involved in valine and isoleucine biosynthesis (at the first step) [catalytic activity: 2-acetolactate + CO(2) = 2-pyruvate].
Rv2278,Rv2278,Required for the transposition of the insertion element IS6110.
Rv2147c,Rv2147c,Unknown
Rv3919c,gid,Unknown
Rv3401,Rv3401,Function unknown; probably enzyme involved in cellular metabolism.
Rv0773c,ggtA,Besides the cephalosporin acylase I activity which converts GL-7ACA into 7-ACA; this enzyme displays some gamma glutamyltranspeptidase activity: GGT plays a key role in the gamma-glutamyl cycle  a pathway for the synthesis and degradation of glutathione. [catalytic activity 1: 7-beta-(4-carboxybutanamido)-cephalosporanic acid + H2O = 7-aminocephalosporanic acid + glutaric acid] [catalytic activity 2: (5-L-glutamyl)-peptide + an amino acid = peptide + 5-L-glutamyl-amino acid].
Rv1027c,kdpE,Member of the two-component regulatory system KDPD/KDPE involved in the regulation of the KDP operon.
Rv0479c,Rv0479c,Unknown
Rv0289,espG3,Function unknown
Rv1360,Rv1360,Function unknown; probably involved in cellular metabolism.
Rv0977,PE_PGRS16,Function unknown
Rv2486,echA14,Could possibly oxidize fatty acids using specific components [catalytic activity: (3S)-3-hydroxyacyl-CoA = trans-2(or 3)-enoyl-CoA + H(2)O].
Rv3850,Rv3850,Function unknown
Rv2698,Rv2698,Unknown
Rv3476c,kgtP,Involved in active transport of dicarboxylic acid across the membrane. Responsible for the translocation of the substrate across the membrane.
Rv0024,Rv0024,Unknown. The P60 protein is a major extracellular protein may be involved in the invasion of host cells.
Rv2611c,Rv2611c,Catalyzes the acylation of the 6-position of the mannose residue linked to position 2 of the myo-inositol in phosphatylinositol mono- and DI-mannosides.
Rv1449c,tkt,This enzyme  together with transaldolase  provides a link between the glycolytic and pentose-phosphate pathways. It catalyzes the reversible transfer of a two-carbon KETOL unit from xylulose 5-phosphate to an aldose receptor [catalytic activity: sedoheptulose 7-phosphate + D-glyceraldehyde 3-phosphate = D-ribose 5-phosphate + D-xylulose 5-phosphate]
Rv0300,vapB2,Unknown
Rv2898c,Rv2898c,Function unknown
Rv0967,csoR,Involved in transcriptional mechanism; repression of the CSO operon.
Rv3704c,gshA,Involved in glutathione biosynthesis (at the first step) [catalytic activity: ATP + L-glutamate + L-cysteine = ADP + orthophosphate + gamma-L-glutamyl-L-cysteine].
Rv3610c,ftsH,Thought to act as an ATP-dependent zinc metallopeptidase  with ATPase and proteolytic activities. Probably has a regulatory role in stress response and specific proteins secretion for adaptation to host environment.
Rv0986,Rv0986,Thought to be involved in active transport of adhesion component across the membrane: involved in attachment and virulence. Responsible for energy coupling to the transport system.
Rv3130c,tgs1,Involved in synthesis of triacylglycerol
Rv3798,Rv3798,Required for the transposition of the insertion sequence element IS1557.
Rv3554,fdxB,Function unknown; C-terminus probably involved in electron transfer in one or several metabolic reactions.
Rv0979A,rpmF,Involved in translation mechanism.
Rv0821c,phoY2,Involved in transcriptional regulation of active transport of inorganic phosphate across the membrane.
Rv0250c,Rv0250c,Function unknown. Possibly down-regulated by HSPR|Rv0353.
Rv3652,PE_PGRS60,Function unknown
Rv0562,grcC1,Possibly supplies polyprenyl diphosphate.
Rv2534c,efp,Involved in peptide bond synthesis. Stimulate efficient translation and peptide-bond synthesis on native or reconstituted 70S ribosomes in vitro. Probably functions indirectly by altering the affinity of the ribosome for aminoacyl-tRNA  thus increasing their reactivity as acceptors for peptidyl transferase.
Rv2529,Rv2529,Unknown
Rv2739c,Rv2739c,Function unknown; probably involved in cellular metabolism.
Rv1958c,Rv1958c,Unknown
Rv1611,trpC,Tryptophan biosynthesis pathway (fourth step) [catalytic activity: 1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate = 1-(indol-3-YL)glycerol 3-phosphate + CO(2) + H(2)O.]
Rv0602c,tcrA,Sensor part of a two component regulatory system.
Rv3220c,Rv3220c,Sensor part of a two component regulatory system.
Rv0414c,thiE,Involved in thiamine biosynthesis. Condenses 4-methyl-5-(beta-hydroxyethyl)-thiazole monophosphate (THZ-P) and 4-amino-5-hydroxymethyl pyrimidine pyrophosphate (HMP-pp) to form thiamine monophosphate (TMP) [catalytic activity: 2-methyl-4-amino-5-hydroxymethylpyrimidine diphosphate + 4-4-methyl-5-(2-phosphonooxyethyl)-thiazole = diphosphate + thiamine monophosphate].
Rv0493c,Rv0493c,Function unknown
Rv3088,tgs4,May be involved in synthesis of triacylglycerol
Rv0755A,Rv0755A,Could be required for the transposition of an insertion element.
Rv1919c,Rv1919c,Function unknown
Rv2893,Rv2893,Function unknown; probably involved in cellular metabolism.
Rv2267c,Rv2267c,Unknown
Rv1681,moeX,Involved in molybdoptenum cofactor biosynthesis
Rv2026c,Rv2026c,Unknown
Rv3212,Rv3212,Function unknown
Rv1493,mutB,Involved in propionic acid fermentation. Catalyzes the isomerization of succinyl-CoA to methylmalonyl-CoA during synthesis of propionate from tricarboxylic acid-cycle intermediates [catalytic activity : (R)-2-methyl-3-oxopropanoyl-CoA = succinyl- CoA.]
Rv3010c,pfkA,Involved in glycolysis; converts sugar-1-P to sugar-1 6-P [catalytic activity: ATP + D-fructose 6-phosphate = ADP + D-fructose 1 6-bisphosphate].
Rv0645c,mmaA1,Involved in mycolic acids modification. Catalyzes unusual S-adenosyl-methionine-dependent transformation of a cis-olefin mycolic acid into a secondary alcohol. Catalyzes introduction of a hydroxyl group at the distal position on mycolic acid chains to produce the hydroxyl mycolate. Mycolic acids represent a major constituent of the mycobacterial cell wall complex. Methyl transfer results in formation of a secondary hydroxy group with an adjacent methyl branch; olefinic mycolic acid methyl transferase.
Rv1848,ureA,Involved in the conversion of urea to NH3 [catalytic activity: urea + H2O = CO2 + 2 NH3]
Rv2009,vapB15,Unknown
Rv3290c,lat,Possibly involved in L-alpha-aminoadipic acid (L-AAA) biosynthesis. Catalyzes the transfer of the terminal amino group of L-lysine or L-ornithine to alpha-ketoglutarate [catalytic activity: L-lysine + 2-oxoglutarate = 2-aminoadipate 6-semialdehyde + L-glutamate].
Rv1638,uvrA,Involved in nucleotide excision repair. The ABC excision nuclease is a DNA repair enzyme that catalyzes the excision reaction of UV-damaged nucleotide segments producing oligomers having the modified base(S). UVRA is an ATPase and a DNA-binding protein that preferentially binds single-stranded or UV-irradiated double-stranded DNA.
Rv3208A,TB9.4,Function unknown
Rv3140,fadE23,Function unknown  but involved in lipid degradation.
Rv0384c,clpB,Thought to be an ATPase subunit of an intracellular ATP-dependent protease. Seems to be regulated positively by sigh (Rv3223c product) and negatively by HSPR (Rv0353 product).
Rv2281,pitB,Involved in phosphate transport.
Rv2264c,Rv2264c,Unknown
Rv3112,moaD1,Involved in molybdenum cofactor biosynthesis.
Rv2623,TB31.7,Function unknown
Rv3012c,gatC,Component of the translational apparatus. Furnishes a means for formation of correctly charged GLN-tRNA(GLN) through the transamidation of misacylated GLU- tRNA(GLN) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-GLU-tRNA(GLN) [catalytic activity: ATP + L-glutamyl-tRNA(GLN) + L-glutamine = ADP + phosphate + L-glutaminyl-tRNA(GLN) + L-glutamate].
Rv1857,modA,Involved in the active transport of molybdenum into the cell across the membrane (import). Part of the binding-protein-dependent transport system modabc.
Rv1520,Rv1520,Unknown; thought to be involved in cellular metabolism.
Rv2588c,yajC,Thought to be involved in secretion apparatus.
Rv1709,scpA,Involved in chromosome structure and partitioning
Rv2736c,recX,May play a regulatory role possibly by interacting with RECA  the product of the upstream ORF.
Rv2402,Rv2402,Function unknown
Rv3135,PPE50,Function unknown
Rv1944c,Rv1944c,Function unknown
Rv3647c,Rv3647c,Function unknown
Rv3909,Rv3909,Function unknown
Rv2616,Rv2616,Function unknown
Rv2554c,Rv2554c,Function unknown
Rv3079c,Rv3079c,Function unknown
Rv3099c,Rv3099c,Function unknown
Rv1872c,lldD2,Involved in respiration; catalyzes conversion of lactate into pyruvate [catalytic activity: (S)-lactate + 2 ferricytochrome C = pyruvate + 2 ferrocytochrome C].
Rv1877,Rv1877,Unknown; possibly involved in transport of drug across the membrane.
Rv0893c,Rv0893c,Possible methyltransferase
Rv2957,Rv2957,Function unknown; probably involved in cellular metabolism.
MTB000148,ncRv12783c,Unknown
Rv1256c,cyp130,Cytochromes P450 are a group of heme-thiolate monooxygenases. They oxidize a variety of structurally unrelated compounds  including steroids  fatty acids  and xenobiotics.
Rv3721c,dnaZX,DNA polymerase III is a complex  multichain enzyme responsible for most of the replicative synthesis in bacteria. This DNA polymerase also exhibits 3' to 5' exonuclease activity [catalytic activity: N deoxynucleoside triphosphate = N pyrophosphate + DNA(N)].
Rv0637,hadC,Involved in fatty acid synthesis type II (fas-II)
Rv0874c,Rv0874c,Function unknown
Rv2063A,mazF7,Unknown
Rv3215,entC,Could be involved in enterobactin biosynthesis. Enterobactin is an iron-chelating compound involved in transporting iron from the bacterial environment into the cell cytoplasm. Could be also involved in 2 3-dihydroxybenzoate or enterochelin or menaquinone biosynthesis [catalytic activity: chorismate = isochorismate].
Rv3836,Rv3836,Function unknown
Rv0091,mtn,Responsible for cleavage of the glycosidic bond in both 5'-methylthioadenosine (MTA) and S-adenosylhomocysteine (SAH) [catalytic activity 1: methylthioadenosine + H2O = adenine + 5-methylthio-D-ribose] [catalytic activity 2: S-adenosyl-L-homocysteine + H2O = adenine + S-D-ribosyl-L-homocysteine].
Rv3574,kstR,Involved in transcriptional mechanism. Predicted to control regulon involved in lipid metabolism
Rv1635c,Rv1635c,Possibly involved in the biosynthesis of lipoarabinomannan (lam)
Rv0140,Rv0140,Function unknown
Rv1187,rocA,Involved in the arginase pathway [catalytic activity: 1-pyrroline-5-carboxylate + NAD(+) + H(2)O = L-glutamate + NADH]
Rv3526,kshA,Predicted to be involved in lipid catabolism
Rv1936,Rv1936,Function unknown; probably involved in cellular metabolism
Rv0761c,adhB,Thought to catalyze the reversible oxidation of ethanol to acetaldehyde with the concomitant reduction of NAD. Probably acts on primary or secondary alcohols or hemiacetals [catalytic activity: an alcohol + NAD+ = an aldehyde or ketone + NADH].
Rv2704,Rv2704,Function unknown
Rv2062c,cobN,Required for cobalt insertion.
Rv2796c,lppV,Unknown
Rv3896c,Rv3896c,Function unknown
Rv2848c,cobB,Involved in the cobalamin biosynthesis. Responsible for the amidation of carboxylic groups at position a and C of either cobyrinic acid or hydrogenobrynic acid. NH(2) groups are provided by glutamine  and one molecule of ATP is hydrogenolyzed for each amidation.
Rv3064c,Rv3064c,Unknown
Rv3399,Rv3399,Possible methyltransferase
Rv2996c,serA1,Involved at the first committed step in the 'phosphorylated' pathway of L-serine biosynthesis [catalytic activity: 3-phosphoglycerate + NAD(+) = 3-phosphohydroxypyruvate + NADH].
Rv2485c,lipQ,Function unknown; lipolytic enzyme involved in cellular metabolism.
Rv0689c,Rv0689c,Unknown
Rv2178c,aroG,Chorismate biosynthesis
Rv3802c,Rv3802c,Shown to have phospholipase and thioesterase activity
Rv0787A,Rv0787A,Function unknown
Rv2067c,Rv2067c,Unknown
Rv0762c,Rv0762c,Function unknown
Rv3905c,esxF,Unknown
Rv0159c,PE3,Function unknown
Rv0856,Rv0856,Function unknown
Rv2217,lipB,Lipoate biosynthesis
Rv2097c,pafA,Ligates deamidated pup to proteasomal substrate proteins. Requires hydrolysis of ATP to ADP.
Rv3289c,Rv3289c,Unknown
Rv1147,Rv1147,Function unknown
Rv2051c,ppm1,Transfers mannose from GDP-mannose to all endogenous polyprenol-phosphates.
Rv3270,ctpC,Metal cation-transporting ATPase; possibly catalyzes the transport of undetermined metal cation with the hydrolyse of ATP [catalytic activity: ATP + H(2)O + undetermined metal cation(in) = ADP + phosphate + undetermined metal cation(out)].
MTB000003,leuT,-
Rv3733c,Rv3733c,Function unknown
Rv0871,cspB,Function unknown; thought to act in response to low temperature.
Rv0543c,Rv0543c,Function unknown
Rv1067c,PE_PGRS19,Function unknown
Rv2943,Rv2943,Required for the transposition of the insertion element IS1533.
Rv2204c,Rv2204c,Unknown
Rv1787,PPE25,Function unknown
Rv1383,carA,Involved in both arginine and pyrimidine biosynthesis [catalytic activity: 2 ATP + L-glutamine + CO(2) + H(2)O = 2 ADP + phosphate + glutamate + carbamoyl phosphate]
Rv3358,relK,Function unknown
Rv3761c,fadE36,Function unknown  but possibly involvement in lipid degradation.
Rv0011c,Rv0011c,Unknown
Rv3734c,tgs2,May be involved in synthesis of triacylglycerol
Rv2457c,clpX,ATP-dependent specificity component of the CLP protease. It directs the protease to specific substrates. Can perform chaperone functions in the absence of CLPP).
Rv1596,nadC,de novo biosynthesis of NAD and NADP [catalytic activity: nicotinate D-ribonucleotide + diphosphate + CO(2) = pyridine-2 3-dicarboxylate + 5-phospho-alpha-D-ribose 1-diphosphate]
Rv3435c,Rv3435c,Unknown
Rv1749c,Rv1749c,Unknown
Rv3310,sapM,Involved in cellular metabolism: acting on ester bonds [catalytic activity: an orthophosphoric monoester + H(2)O = an alcohol + orthophosphate].
Rv1136,Rv1136,Involved in carnitine metabolism.
Rv2520c,Rv2520c,Unknown
Rv1646,PE17,Function unknown
Rv1576c,Rv1576c,Unknown
Rv3040c,Rv3040c,Function unknown
Rv1783,eccC5,Function unknown
Rv1728c,Rv1728c,Function unknown
Rv0651,rplJ,Involved in translation mechanisms.
Rv2400c,subI,Involved in the active transport across the membrane of multiple sulfur-containing compounds  including sulfate and thiosulfate (import).
Rv2341,lppQ,Unknown
Rv1855c,Rv1855c,Function unknown; probably involved in cellular metabolism
Rv2599,Rv2599,Unknown
Rv3561,fadD3,Function unknown  but involved in lipid degradation.
Rv0518,Rv0518,Unknown
